Years,Month,Cost,Tax,Revenue,Total Profit,,,,,,,,,,,,,,,,,
2024,March,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,April,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,May,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,June,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,July,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,August,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,September,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,October,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,November,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
2024,December,"$60,000.00","$13,000.00","$109,000.00","$36,000.00",,,,,,,,,,,,,,,,,
